chamber,state,party,incumbent,termstart,age,bioguide
house,LA,D,Yes,1961,34.5,M000605
house,IL,R,Yes,1961,34.3,D000269
house,IN,D,Yes,1961,33.8,B000736
house,IL,D,Yes,1961,33.7,S000367
house,CA,R,No,1961,33.2,R000469
house,IL,D,Yes,1961,33.0,R000458
house,RI,D,No,1961,33.0,S000762
house,OH,R,No,1961,32.3,A000221
house,ID,D,No,1961,31.3,H000191
senate,AZ,D,Yes,1961,83.3,H000385
senate,WI,R,Yes,1961,76.6,W000465
senate,AK,D,Yes,1961,73.9,G000508
senate,VA,D,Yes,1961,73.6,R000317
senate,VA,D,Yes,1961,73.6,B001208
senate,NM,D,Yes,1961,72.7,C000338
senate,HI,D,Yes,1961,71.8,L000425
senate,OH,D,Yes,1961,71.7,Y000053
senate,LA,D,Yes,1961,70.3,E000112
senate,IL,D,Yes,1961,68.8,D000456
senate,FL,D,Yes,1961,68.5,H000720
senate,VT,R,Yes,1961,68.4,A000062
senate,MA,R,Yes,1961,68.3,S000021
senate,KS,R,Yes,1961,67.9,C000154
senate,MD,R,Yes,1961,66.6,B000271
senate,ID,R,Yes,1961,66.3,D000585
senate,MI,D,Yes,1961,66.2,M000582
senate,KS,R,Yes,1961,66.1,S000138
senate,AL,D,Yes,1961,66.0,H000598
senate,CT,R,Yes,1961,65.6,B001167
senate,NM,D,Yes,1961,65.2,A000186
senate,OH,D,Yes,1961,65.1,L000122
senate,IL,R,Yes,1961,65.0,D000360
senate,AR,D,Yes,1961,64.9,M000332
senate,IA,R,Yes,1961,64.5,H000559
senate,NC,D,Yes,1961,64.3,J000267
senate,OK,D,Yes,1961,64.3,K000144
senate,SC,D,Yes,1961,64.1,J000195
senate,SD,R,Yes,1961,64.1,C000221
senate,IN,R,Yes,1961,63.6,C000128
senate,MD,R,Yes,1961,63.5,B001180
senate,GA,D,Yes,1961,63.2,R000536
senate,WY,R,No,1961,63.1,S000434
senate,ND,R,Yes,1961,63.1,Y000047
senate,ME,R,Yes,1961,63.1,S000590
senate,NH,R,Yes,1961,62.3,B000823
senate,UT,R,Yes,1961,62.1,B000384
senate,TX,D,No,1961,62.1,B000536
senate,ID,R,No,1961,61.6,J000269
senate,AL,D,Yes,1961,61.0,S000701
senate,NH,R,Yes,1961,60.6,C000802
senate,NY,R,Yes,1961,60.6,K000036
senate,SD,R,Yes,1961,60.6,M001078
senate,OR,D,Yes,1961,60.2,M001014
senate,PA,R,Yes,1961,60.1,S000174
senate,NC,D,Yes,1961,59.8,E000210
senate,MO,D,Yes,1961,59.5,S001136
senate,CO,D,Yes,1961,59.4,C000189
senate,MS,D,Yes,1961,59.4,S000852
senate,KY,R,Yes,1961,59.4,C000758
senate,PA,D,Yes,1961,59.2,C000444
senate,OK,D,Yes,1961,58.8,M000859
senate,WV,D,Yes,1961,58.8,R000046
senate,SC,D,Yes,1961,58.1,T000254
senate,MT,D,Yes,1961,57.8,M000113
senate,TX,D,Yes,1961,57.6,Y000006
senate,TN,D,Yes,1961,57.4,K000044
senate,SD,R,No,1961,57.4,B000656
senate,NJ,R,Yes,1961,56.7,C000220
senate,AK,D,Yes,1961,56.7,B000201
senate,DE,R,Yes,1961,56.6,W000518
senate,NY,R,Yes,1961,56.6,J000064
senate,NE,R,Yes,1961,56.4,H000875
senate,MS,D,Yes,1961,56.1,E000018
senate,NE,R,Yes,1961,55.8,C001006
senate,AR,D,Yes,1961,55.7,F000401
senate,WA,D,Yes,1961,55.7,M000053
senate,VT,R,Yes,1961,54.3,P000552
senate,HI,R,Yes,1961,54.2,F000245
senate,CO,R,Yes,1961,54.0,A000161
senate,OR,D,Yes,1961,54.0,N000052
senate,RI,D,Yes,1961,53.8,P000100
senate,CT,D,Yes,1961,53.6,D000390
senate,KY,R,Yes,1961,53.4,M001022
senate,TN,D,Yes,1961,53.0,G000320
senate,ND,D,Yes,1961,52.5,B001077
senate,MO,D,Yes,1961,52.5,L000415
senate,TX,D,Yes,1961,52.4,J000160
senate,AZ,R,Yes,1961,52.0,G000267
senate,DE,R,No,1961,51.6,B000593
senate,NV,D,Yes,1961,51.1,B000436
senate,CA,R,Yes,1961,50.4,K000335
senate,MT,D,Yes,1961,49.9,M000671
senate,MN,I,Yes,1961,49.6,H000953
senate,WY,D,No,1961,49.4,H000561
senate,CA,D,Yes,1961,49.3,E000181
senate,UT,D,Yes,1961,49.3,M001033
senate,NV,D,Yes,1961,48.9,C000120
senate,WA,D,Yes,1961,48.6,J000013
senate,NM,R,No,1961,48.5,M000623
senate,MI,D,Yes,1961,48.1,H000291
senate,GA,D,Yes,1961,47.4,T000035
senate,FL,D,Yes,1961,47.1,S000505
senate,ME,D,Yes,1961,46.8,M001121
senate,NH,D,No,1961,45.9,M000486
senate,WY,D,Yes,1961,45.8,M000445
senate,WI,D,Yes,1961,45.1,P000553
senate,MA,D,Yes,1961,44.8,S000517
senate,MN,I,Yes,1961,44.8,M000311
senate,IA,R,No,1961,44.6,M000730
senate,WV,D,Yes,1961,43.1,B001210
senate,LA,D,Yes,1961,42.2,L000428
senate,RI,D,No,1961,42.1,P000193
senate,IN,D,Yes,1961,41.6,H000297
senate,NJ,D,Yes,1961,41.1,W000502
senate,KS,R,No,1961,40.7,P000166
senate,ID,D,Yes,1961,36.4,C000388
senate,TX,R,No,1961,35.3,T000322
senate,NH,R,No,1961,33.3,M001100
senate,MA,D,No,1961,28.9,K000105
house,IL,D,Yes,1963,84.7,O000016
house,MO,D,Yes,1963,83.7,C000117
house,IL,D,Yes,1963,80.7,O000053
house,VA,D,Yes,1963,79.9,S000554
house,GA,D,Yes,1963,79.1,V000105
house,MA,R,Yes,1963,78.2,M000191
house,CA,D,Yes,1963,78.0,S000335
house,NJ,R,Yes,1963,78.0,A000227
house,OH,R,Yes,1963,77.8,B000607
house,IL,D,Yes,1963,76.7,D000158
house,OH,D,Yes,1963,76.1,K000244
house,CA,D,Yes,1963,75.5,D000481
house,NY,D,Yes,1963,74.7,C000264
house,MS,D,Yes,1963,72.9,C000645
